Symbol, Name, lastsale, netchange,pctchange, share_volume, Nasdaq100_points,
ATVI, Activision Blizzard Inc, 44.63, 1.31,3.02, 20483548, .9,
ADBE, Adobe Inc., 257.09, -10.6,-3.96, 12107094, -4.7,
AMD, Advanced Micro Devices Inc., 23.29, 0.47,2.06, 46519912, .4,
ALXN, Alexion Pharmaceuticals Inc., 136.09, 1.21,0.9, 2070153, .3,
ALGN, Align Technology Inc., 252.33, 4.74,1.91, 1541962, .4,
GOOG, Alphabet Inc., 1184.46, -1.09,-0.09, 2458511, -.3,
GOOGL, Alphabet Inc., 1190.3, -2.23,-0.19, 2591698, -.6,
AMZN, Amazon.com Inc., 1712.36, 26.14,1.55, 7547484, 10.5,
AAL, American Airlines Group Inc., 31.43, -0.7,-2.18, 9604676, -.3,
AMGN, Amgen Inc., 191.24, 3.48,1.85, 6864999, 2.0,
ADI, Analog Devices Inc., 109.39, 1.14,1.05, 4572245, .4,
AAPL, Apple Inc., 186.12, 2.39,1.3, 39040333, 9.3,
AMAT, Applied Materials Inc., 40.39, 1.46,3.75, 23012182, 1.3,
ASML, ASML Holding N.V., 192.81, 9.52,5.19, 1445063, .6,
ADSK, Autodesk Inc., 153.28, 0.13,0.08, 3511304, .0,
ADP, Automatic Data Processing Inc., 155.31, 1.8,1.17, 5607824, .7,
BIDU, Baidu Inc., 170.48, 2.74,1.63, 2979362, .7,
BIIB, Biogen Inc., 329.87, 8.35,2.6, 2365425, 1.5,
BMRN, BioMarin Pharmaceutical Inc., 94.53, 0.03,0.03, 1452911, .0,
BKNG, Booking Holdings Inc., 1752.17, 8.29,0.48, 760026, .4,
AVGO, Broadcom Inc., 290.29, 22.09,8.24, 14403012, 8.3,
CDNS, Cadence Design Systems Inc., 60.99, -0.17,-0.28, 4051115, .0,
CELG, Celgene Corporation, 88.46, 0.17,0.19, 10042818, .1,
CERN, Cerner Corporation, 57.91, 0.77,1.35, 3000595, .2,
CHTR, Charter Communications Inc., 355.92, 3.21,0.91, 2482630, .7,
