Name,Identifier,Weight,Sector,Shares Held
Microsoft Corporation,MSFT,3.754728,Information Technology,84858450.000
Apple Inc.,AAPL,3.514293,Information Technology,49536036.000
Amazon.com Inc.,AMZN,2.936674,Consumer Discretionary,4510295.000
Facebook Inc. Class A,FB,1.733811,Communication Services,26386516.000
Berkshire Hathaway Inc. Class B,BRK.B,1.677888,Financials,21365752.000
Johnson & Johnson,JNJ,1.569734,Health Care,29454212.000
Alphabet Inc. Class C,GOOG,1.546657,Communication Services,3378606.000
Alphabet Inc. Class A,GOOGL,1.511792,Communication Services,3283116.000
JPMorgan Chase & Co.,JPM,1.485942,Financials,36531880.000
Exxon Mobil Corporation,XOM,1.444203,Energy,46496420.000
Visa Inc. Class A,V,1.149409,Information Technology,19304280.000
Bank of America Corp,BAC,1.140856,Financials,100290856.000
Procter & Gamble Company,PG,1.070394,Consumer Staples,27359724.000
Intel Corporation,INTC,1.034611,Information Technology,50138810.000
UnitedHealth Group Incorporated,UNH,1.033216,Health Care,10565025.000
Verizon Communications Inc.,VZ,1.015395,Communication Services,45377950.000
Pfizer Inc.,PFE,1.010109,Health Care,63509650.000
Chevron Corporation,CVX,1.009676,Energy,20985884.000
Cisco Systems Inc.,CSCO,1.006027,Information Technology,49400650.000
AT&T Inc.,T,0.934449,Communication Services,79921450.000
Wells Fargo & Company,WFC,0.905189,Financials,46558948.000
Merck & Co. Inc.,MRK,0.899235,Health Care,28578016.000
Mastercard Incorporated Class A,MA,0.881416,Information Technology,9945872.000
Home Depot Inc.,HD,0.870230,Consumer Discretionary,12409594.000
Boeing Company,BA,0.836327,Industrials,5802048.000
Comcast Corporation Class A,CMCSA,0.768386,Communication Services,49911040.000
Coca-Cola Company,KO,0.742373,Consumer Staples,42069692.000
Walt Disney Company,DIS,0.722658,Communication Services,16348066.000
PepsiCo Inc.,PEP,0.691397,Consumer Staples,15502754.000
Citigroup Inc.,C,0.664550,Financials,26845120.000
Netflix Inc.,NFLX,0.663501,Communication Services,4788815.000
McDonald's Corporation,MCD,0.597942,Consumer Discretionary,8474007.000
Walmart Inc.,WMT,0.594599,Consumer Staples,15677901.000
Philip Morris International Inc.,PM,0.591899,Consumer Staples,17071952.000
Abbott Laboratories,ABT,0.588199,Health Care,19287256.000
Oracle Corporation,ORCL,0.572441,Information Technology,27945292.000
Adobe Inc.,ADBE,0.552732,Information Technology,5347438.000
DowDuPont Inc.,DWDP,0.535549,Materials,25203630.000
International Business Machines Corporation,IBM,0.534238,Information Technology,9968726.000
Medtronic plc,MDT,0.531594,Health Care,14751017.000
